Company Name,Industry,Size,Country,,Collect more data than seems necessary for service provision,Clear specification of how data will be used,Easy-to-follow formatting,Jump-to-section functionality,Specific section for children/minors,Clearly explains cookie usage,Outlines security measures for data safegaurding,Outlines policy for communications/email marketing,Contains non-discrimination statement,Contains detailed statement on data retention policy
Facebook,Social Media,Large,United States,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
Amazon,Ecommerce,Large,United States,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
Alibaba,Ecommerce,Large,China,,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
Tencent Holdings,Finance,Large,China,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
Taco Del Mar,Food,Small,United States,,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Rakuten,Ecommerce,Large,Japan,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
Yoshinoya,Food,Large,Japan,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Freshness Burger,Food,Medium,Japan,,No,Yes,No,No,No,Yes,Yes,No,Yes,No
Retty,Social Media,Small,Japan,,No,Yes,No,No,No,Yes,Yes,No,No,No
Sarku Japan,Food,Small,Japan,,No,No,No,No,Yes,Yes,No,No,No,No
Twitter,Social Media,Large,United States,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Weixin,Social Media,Large,China,,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes
Taobao,Ecommerce,Large,China,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
China Report,Social Media,Small,China,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
Grideo,Social Media,Small,United States,,No,No,No,No,Yes,No,No,No,No,No
Wizz,Social Media,Medium,United States,,No,No,No,No,Yes,No,No,Yes,No,No
Winnipeg Chinese Media,Social Media,Medium,China,,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes
Mango Talk,Social Media,Medium,Japan,,No,Yes,Yes,No,No,No,No,No,No,Yes
Line,Social Media,Large,Japan,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Ecwid Ecommerce,Ecommerce,Small,United States,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
China State Construction E-commerce,Ecommerce,Small,China,,No,Yes,No,No,No,Yes,Yes,No,No,No
Culture Convenience Club,Ecommerce,Small,Japan,,No,Yes,No,No,No,No,Yes,Yes,No,No
Fetch rewards,Ecommerce,Medium,United States,,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
LianJia,Ecommerce,Medium,China,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
Mercari,Ecommerce,Medium,Japan,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
McDonald's,Food,Large,United States,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Cafe de Coral,Food,Large,China,,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
In N Out,Food,Medium,United States,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Pacific Coffee,Food,Medium,China,,No,Yes,Yes,No,No,No,Yes,Yes,No,No
Blue Frog,Food,Small,China,,No,Yes,Yes,No,No,No,No,Yes,No,Yes
Chase Bank,Finance,Large,United States,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
SoftBank,Finance,Large,Japan,,No,No,No,No,No,No,No,No,No,No
SoFi,Finance,Medium,United States,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Lufax,Finance,Medium,China,,No,Yes,No,No,No,No,Yes,No,No,No
Japan Exchange Group,Finance,Medium,Japan,,Yes,Yes,Yes,No,No,Yes,No,No,No,No
Kikoff,Finance,Small,United States,,Yes,Yes,Yese,No,Yes,Yes,Yes,Yes,No,No
UP FinTech (Tiger Brokers),Finance,Small,China,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Cowche Co. Ltd.,Finance,Small,Japan,,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
        ,,,,,,,,,,,,,,
